Stn Code,Sampling Date,State,City/Town/Village/Area,Location of Monitoring Station,Agency,Type of Location,SO2,NO2,RSPM/PM10,PM 2.5
60,2014-09-12T12:46:36Z,Delhi,Delhi,"Siri Fort, Delhi",Central Pollution Control Board,"Residential, Rural and other Areas",4,36,218,NA
60,2014-12-12T12:46:36Z,Delhi,Delhi,"Siri Fort, Delhi",Central Pollution Control Board,"Residential, Rural and other Areas",4,43,302,NA
60,2014-12-17T12:46:36Z,Delhi,Delhi,"Siri Fort, Delhi",Central Pollution Control Board,"Residential, Rural and other Areas",4,45,191,NA
60,2014-12-22T12:46:36Z,Delhi,Delhi,"Siri Fort, Delhi",Central Pollution Control Board,"Residential, Rural and other Areas",4,46,224,NA
60,2014-12-26T12:46:36Z,Delhi,Delhi,"Siri Fort, Delhi",Central Pollution Control Board,"Residential, Rural and other Areas",4,46,229,NA
59,2014-03-01T12:46:36Z,Delhi,Delhi,"Janakpuri, Delhi",Central Pollution Control Board,"Residential, Rural and other Areas",4,54,301,NA
59,2014-08-01T12:46:36Z,Delhi,Delhi,"Janakpuri, Delhi",Central Pollution Control Board,"Residential, Rural and other Areas",5,48,354,NA
59,2014-01-13T12:46:36Z,Delhi,Delhi,"Janakpuri, Delhi",Central Pollution Control Board,"Residential, Rural and other Areas",4,46,218,NA
59,2014-01-17T12:46:36Z,Delhi,Delhi,"Janakpuri, Delhi",Central Pollution Control Board,"Residential, Rural and other Areas",4,27,131,NA
59,2014-01-22T12:46:36Z,Delhi,Delhi,"Janakpuri, Delhi",Central Pollution Control Board,"Residential, Rural and other Areas",4,27,119,NA
59,2014-01-27T12:46:36Z,Delhi,Delhi,"Janakpuri, Delhi",Central Pollution Control Board,"Residential, Rural and other Areas",4,32,181,NA
59,2014-01-30T12:46:36Z,Delhi,Delhi,"Janakpuri, Delhi",Central Pollution Control Board,"Residential, Rural and other Areas",4,35,387,NA
59,2014-05-02T12:46:36Z,Delhi,Delhi,"Janakpuri, Delhi",Central Pollution Control Board,"Residential, Rural and other Areas",4,48,287,NA
59,2014-10-02T12:46:36Z,Delhi,Delhi,"Janakpuri, Delhi",Central Pollution Control Board,"Residential, Rural and other Areas",4,49,254,NA
59,2014-02-13T12:46:36Z,Delhi,Delhi,"Janakpuri, Delhi",Central Pollution Control Board,"Residential, Rural and other Areas",4,44,270,NA
59,2014-02-18T12:46:36Z,Delhi,Delhi,"Janakpuri, Delhi",Central Pollution Control Board,"Residential, Rural and other Areas",4,49,327,NA
59,2014-02-21T12:46:36Z,Delhi,Delhi,"Janakpuri, Delhi",Central Pollution Control Board,"Residential, Rural and other Areas",4,51,119,NA
59,2014-02-26T12:46:36Z,Delhi,Delhi,"Janakpuri, Delhi",Central Pollution Control Board,"Residential, Rural and other Areas",4,38,273,NA
59,2014-04-03T12:46:36Z,Delhi,Delhi,"Janakpuri, Delhi",Central Pollution Control Board,"Residential, Rural and other Areas",4,51,146,NA
59,2014-07-03T12:46:36Z,Delhi,Delhi,"Janakpuri, Delhi",Central Pollution Control Board,"Residential, Rural and other Areas",4,51,197,NA
59,2014-12-03T12:46:36Z,Delhi,Delhi,"Janakpuri, Delhi",Central Pollution Control Board,"Residential, Rural and other Areas",4,49,94,NA
59,2014-03-18T12:46:36Z,Delhi,Delhi,"Janakpuri, Delhi",Central Pollution Control Board,"Residential, Rural and other Areas",4,52,108,NA
59,2014-03-21T12:46:36Z,Delhi,Delhi,"Janakpuri, Delhi",Central Pollution Control Board,"Residential, Rural and other Areas",4,56,152,NA
59,2014-03-26T12:46:36Z,Delhi,Delhi,"Janakpuri, Delhi",Central Pollution Control Board,"Residential, Rural and other Areas",4,50,104,NA
59,2014-01-04T12:46:36Z,Delhi,Delhi,"Janakpuri, Delhi",Central Pollution Control Board,"Residential, Rural and other Areas",4,53,115,NA
59,2014-04-04T12:46:36Z,Delhi,Delhi,"Janakpuri, Delhi",Central Pollution Control Board,"Residential, Rural and other Areas",4,40,124,NA
59,2014-11-04T12:46:36Z,Delhi,Delhi,"Janakpuri, Delhi",Central Pollution Control Board,"Residential, Rural and other Areas",4,47,183,NA
59,2014-04-17T12:46:36Z,Delhi,Delhi,"Janakpuri, Delhi",Central Pollution Control Board,"Residential, Rural and other Areas",4,42,190,NA
59,2014-04-23T12:46:36Z,Delhi,Delhi,"Janakpuri, Delhi",Central Pollution Control Board,"Residential, Rural and other Areas",5,59,434,NA
59,2014-04-28T12:46:36Z,Delhi,Delhi,"Janakpuri, Delhi",Central Pollution Control Board,"Residential, Rural and other Areas",4,37,165,NA
59,2014-02-05T12:46:36Z,Delhi,Delhi,"Janakpuri, Delhi",Central Pollution Control Board,"Residential, Rural and other Areas",4,42,296,NA
59,2014-07-05T12:46:36Z,Delhi,Delhi,"Janakpuri, Delhi",Central Pollution Control Board,"Residential, Rural and other Areas",4,42,281,NA
59,2014-12-05T12:46:36Z,Delhi,Delhi,"Janakpuri, Delhi",Central Pollution Control Board,"Residential, Rural and other Areas",4,36,246,NA
59,2014-05-16T12:46:36Z,Delhi,Delhi,"Janakpuri, Delhi",Central Pollution Control Board,"Residential, Rural and other Areas",4,43,204,NA
59,2014-05-21T12:46:36Z,Delhi,Delhi,"Janakpuri, Delhi",Central Pollution Control Board,"Residential, Rural and other Areas",4,36,313,NA
59,2014-05-26T12:46:36Z,Delhi,Delhi,"Janakpuri, Delhi",Central Pollution Control Board,"Residential, Rural and other Areas",4,40,238,NA
59,2014-05-29T12:46:36Z,Delhi,Delhi,"Janakpuri, Delhi",Central Pollution Control Board,"Residential, Rural and other Areas",4,37,212,NA
59,2014-04-06T12:46:36Z,Delhi,Delhi,"Janakpuri, Delhi",Central Pollution Control Board,"Residential, Rural and other Areas",4,31,NA,NA
59,2014-09-06T12:46:36Z,Delhi,Delhi,"Janakpuri, Delhi",Central Pollution Control Board,"Residential, Rural and other Areas",4,38,NA,NA
